country,city,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather_condition,weather_description,clouds,timestamp,collection_date
algeria,annaba,22.9,22.7,56,1015,13.0,360,Clouds,broken clouds,75,2026-03-04T14:11:46.288985,2026-03-04
algeria,algiers,23.9,23.2,33,1011,13.0,170,Haze,haze,75,2026-03-04T14:11:48.029546,2026-03-04
algeria,constantine,22.7,22.0,40,1014,16.7,140,Clouds,broken clouds,75,2026-03-04T14:11:49.667434,2026-03-04
libya,tripoli,19.9,19.3,49,1020,31.5,90,Clear,clear sky,0,2026-03-04T14:11:51.281565,2026-03-04
libya,benghazi,17.5,16.6,48,1026,15.6,304,Clouds,overcast clouds,100,2026-03-04T14:11:53.047838,2026-03-04
italy,palermo,17.5,17.0,64,1024,6.4,74,Clouds,overcast clouds,85,2026-03-04T14:11:54.686289,2026-03-04
italy,lampedusa,16.8,16.6,82,1023,31.5,120,Clear,clear sky,6,2026-03-04T14:11:56.324310,2026-03-04
malta,valletta,18.3,18.1,72,1025,29.6,120,Clouds,few clouds,20,2026-03-04T14:11:57.859485,2026-03-04
